Nome,Latitude,Longitude
MAF CAFFE',9.18734461471,45.4815798192
NEW ART CAFE',9.18744603431,45.4723787241
BANA,9.2478678237,45.4527750264
NOY CONCEPT RESTAURANT CAFE',9.16219092448,45.4652654996
BICOCKTAIL,9.21179510718,45.5159304182
TNT,9.22001992121,45.4505482182
TEATRO LIBERO, 9.16858093931,45.4556055809
OFFICINA 12,9.17536647222,45.4520873461
MOGAMO,9.20894035306,45.4850668958
PIZZERIA DI PORTA GARIBALDI,9.18734461471,45.4815798192
IL TUNNEL,9.17267330575,45.4770329664
ARIZONA 2000,9.21547848025,45.4886421618
LA TOUR,9.20276496026,45.4877682375
TUCANO,9.20207300437,45.4333355377
OSTERIA DEL TRENO,9.20116927773345,45.4812779585981
LA CUEVA LATINO CAFE,9.21464063465,45.4524105066
HD,9.2365254337,45.4724617536
HENRY S CAFE,9.18207604149,45.4520700811
BLUE NOTE,9.18886515975,45.4893594522
RISTORANTE PUB DO RE MI,9.21860333051,45.4351344329
SPORTS BAR,9.18810521558,45.4724444662
LE TROTTOIR A LA DARSENA,9.18046001801,45.4527465348
PICAFLOR,9.23595591567,45.4832614484
LA TANA DEL LUPO,9.19893236349,45.4777006109
SIDDHARTA,9.17936036183,45.4775057074
EL PASO DE LOS TOROS,9.20505857636,45.476696897
JUICEBAR,9.18170170392,45.4953804992
CHIAR DI LUNA,9.18877465607,45.4868405349
ALCHIMIA,9.18073240587,45.4460353436
TROPPAPIZZA,9.14828708868,45.4912998051
ARCA DI NOE,9.12900870851,45.4431855441
VISIONNAIRE,9.19488724954,45.4729435958
LA BUCA DI SAN VINCENZO,9.17461564907,45.4584831924
NOON,9.1741900934,45.4678823872
BAR BIFFI,9.18124087540074,45.4833259370125
FOOD & FASHION,9.21457538755,45.4849749837
FIRST FLOOR,9.12858990756,45.4807824511
VIGA MILANO MUSIC BAR,9.18977503362,45.4821688301
ALTER EGO CAFE',9.17034023978,45.518692084
CREAM,9.17071072758,45.4764538572
GRAND CANYON PUB,9.12396442114,45.5028753866
IL NAVIGANTE,9.1766290918,45.4509821535
PATCHOULI,9.21313093548,45.4459009449
LEGEND 54,9.17903190557,45.5163420921
AFTER LINE,9.20541042327,45.4893282546
CAFE' TRUSSARDI,9.18885742797,45.4669705031
